y	x																					
2015.884948	1																					
509.291564	2																					0
308.0716643	3																					
186.3517926	4																					
120.0148476	5																					
90.1752438	6																					
63.61254421	7																					
53.12420815	8																					
47.33791435	9																					
24.13527297	10																					
0	11																					
0	12																					
0	13																					
0	14																					
0	15																					
0	16																					
0	17																					
0	18																					
