GOSlimTerm	count
Golgi apparatus	10
anatomical structure development	3
cell communication	1
cell growth	1
cell wall	8
cellular protein modification process	2
chloroplast	156
cytoplasm	56
cytosol	3
embryo development	1
endoplasmic reticulum	1
extracellular region	59
mitochondrion	31
multicellular organism development	3
nucleolus	1
nucleoplasm	1
nucleotide binding	1
nucleus	165
other binding	1
other cellular components	21
other cellular processes	4
other intracellular components	25
other membranes	9
other metabolic processes	2
peroxisome	2
plasma membrane	46
plastid	56
post-embryonic development	3
reproduction	3
response to abiotic stimulus	1
response to chemical	3
response to endogenous stimulus	2
response to external stimulus	1
response to light stimulus	1
response to stress	1
ribosome	3
thylakoid	13
vacuole	23
