x	y																													0	0	0
1	1894.255999																															
2	423.5746081																															
3	281.1926766																															
4	201.0926889																															
5	149.8148375																															
6	121.2297029																															
7	91.03956881																															
8	63.9164829																															
9	47.38077424																															
10	41.46285198																															
11	39.33597624																															
12	37.28002218																															
13	33.98040461																															
14	32.41500444																															
15	16.02840133																															
16	0																															
17	0																															
18	0																															
19	0																															
20	0																															
21	0																															
22	0																															
23	0																															
24	0																															
25	0																															
26	0																															
27	0																															
28	0																															
29	0																															
