x	y		1906.738084	325.935907	244.9871078	172.9072773	136.6691428	98.97174219	82.51243665	73.75915149	55.93788939	55.69700864	50.07729585	41.54458099	35.15294453	33.66291503	32.44983538	13.99668112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1906.738084																																
2	325.935907																																
3	244.9871078																																
4	172.9072773																																
5	136.6691428																																
6	98.97174219																																
7	82.51243665																																
8	73.75915149																																
9	55.93788939																																
10	55.69700864																																
11	50.07729585																																
12	41.54458099																																
13	35.15294453																																
14	33.66291503																																
15	32.44983538																																
16	13.99668112																																
17	0																																
18	0																																
19	0																																
20	0																																
21	0																																
22	0																																
23	0																																
24	0																																
25	0																																
26	0																																
27	0																																
28	0																																
29	0																																
30	0																																
31	0																																
