Sample	Population
CESO_Col-10-10_srt	Col
CESO_Col-1-10_srt	Col
CESO_Col-13-10_srt	Col
CESO_Col-16-10_srt	Col
CESO_Col-17-10_srt	Col
CESO_Col-18-10_srt	Col
CESO_Col-19-10_srt	Col
CESO_Col-2-10_srt	Col
CESO_Col-26-1_srt	Col
CESO_Col-5-10_srt	Col
CESO_Col-6-10_srt	Col
CESO_Col-7-10_srt	Col
CESO_Col-8-10_srt	Col
CESO_DES-10-M3_srt	Des
CESO_DES-11-M3_srt	Des
CESO_DES-12-M3_srt	Des
CESO_DES-13-M2_srt	Des
CESO_DES-14-M3_srt	Des
CESO_DES-15-M2_srt	Des
CESO_DES-17-M2_srt	Des
CESO_DES-19-M2_srt	Des
CESO_DES-1-M2_srt	Des
CESO_DES-3-M3_srt	Des
CESO_DES-4-M2_srt	Des
CESO_DES-5-M2_srt	Des
CESO_DES-6-M3_srt	Des
CESO_DES-7-M3_srt	Des
CESO_DES-8-M2_srt	Des
CESO_DES-9-M2_srt	Des
CESO_Dia-10-10_srt	Dia
CESO_DIA-12-10_srt	Dia
CESO_Dia-1-3_srt	Dia
CESO_Dia-14-10_srt	Dia
CESO_Dia-15-10_srt	Dia
CESO_Dia-16-10_srt	Dia
CESO_Dia-17-10_srt	Dia
CESO_Dia-18-10_srt	Dia
CESO_Dia-19-10_srt	Dia
CESO_Dia-2-10_srt	Dia
CESO_Dia-22-11_srt	Dia
CESO_Dia-23-11_srt	Dia
CESO_Dia-24-11_srt	Dia
CESO_Dia-25-10_srt	Dia
CESO_Dia-29-2_srt	Dia
CESO_Dia-5-2_srt	Dia
CESO_Dia-7-10_srt	Dia
CESO_Dia-8-2_srt	Dia
CESO_Dia-9-10_srt	Dia
CESO_Gil-10-10_srt	Gil
CESO_Gil-11-10_srt	Gil
CESO_Gil-12-10_srt	Gil
CESO_Gil-13-10_srt	Gil
CESO_Gil-14-10_srt	Gil
CESO_GIL-15-10_srt	Gil
CESO_Gil-16-10_srt	Gil
CESO_Gil-18-10_srt	Gil
CESO_Gil-19-10_srt	Gil
CESO_Gil-21-11_srt	Gil
CESO_Gil-22-10b_srt	Gil
CESO_Gil-23-10b_srt	Gil
CESO_Gil-24-11_srt	Gil
CESO_GIL-2-5_srt	Gil
CESO_Gil-25-4_srt	Gil
CESO_Gil-26-1_2_srt	Gil
CESO_Gil-29-10_srt	Gil
CESO_Gil-30-10_srt	Gil
CESO_Gil-3-5_srt	Gil
CESO_Gil-9-10_srt	Gil
CESO_Gol-11-10_srt	Gol
CESO_Gol-12-10_srt	Gol
CESO_Gol-13-3_srt	Gol
CESO_Gol-14-11_srt	Gol
CESO_Gol-15-10_srt	Gol
CESO_Gol-16-10_srt	Gol
CESO_Gol-17-10_srt	Gol
CESO_Gol-21-11_srt	Gol
CESO_Gol-22-10_srt	Gol
CESO_Gol-24-10_srt	Gol
CESO_Gol-26-10_srt	Gol
CESO_Gol-27-10_srt	Gol
CESO_Gol-28-3_srt	Gol
CESO_Gol-29-10_srt	Gol
CESO_Gol-30-10_srt	Gol
CESO_Gol-4-10_srt	Gol
CESO_Gol-6-11_srt	Gol
CESO_Gol-7-10_srt	Gol
CESO_Leb-10-10_srt	Leb
CESO_Leb-1-10_srt	Leb
CESO_LEB-11-10_srt	Leb
CESO_Leb-12-10_srt	Leb
CESO_Leb-13-5_srt	Leb
CESO_LEB-14-10_srt	Leb
CESO_Leb-15-4_srt	Leb
CESO_LEB-18-10_srt	Leb
CESO_Leb-19-10_srt	Leb
CESO_Leb-20-2_srt	Leb
CESO_LEB-2-10_srt	Leb
CESO_Leb-24-4_srt	Leb
CESO_Leb-25-10b_srt	Leb
CESO_Leb-26-10b_srt	Leb
CESO_Leb-27-10b_srt	Leb
CESO_Leb-28-11_srt	Leb
CESO_Leb-3-5_srt	Leb
CESO_LEB-6-7_srt	Leb
CESO_Leb-7-10_srt	Leb
CESO_Nee-10-10_srt	Nee
CESO_Nee-11-10_srt	Nee
CESO_Nee-13-10_srt	Nee
CESO_Nee-15-10_srt	Nee
CESO_Nee-6-10_srt	Nee
CESO_Nee-8-C10_srt	Nee
CESO_Orc-15-1_srt	Orc
CESO_Orc-4-10_srt	Orc
CESO_Orc-5-10_srt	Orc
CESO_Orc-6-10_srt	Orc
CESO_Orc-9-10_srt	Orc
CESO_Oro-16-6_srt	Oro
CESO_Oro-18-8_srt	Oro
CESO_Oro-19-10_srt	Oro
CESO_Oro-20-10_srt	Oro
CESO_Oro-21-10_srt	Oro
CESO_Oro-22-10_srt	Oro
CESO_Oro-23-10_srt	Oro
CESO_Oro-24-10_srt	Oro
CESO_Oro-25-10_srt	Oro
CESO_Oro-2-6_srt	Oro
CESO_Oro-26-10_srt	Oro
CESO_Oro-30-6_srt	Oro
CESO_Oro-3-10_srt	Oro
CESO_Oro-4-3_srt	Oro
CESO_Oro-5-8_srt	Oro
CESO_Oro-6-10_srt	Oro
CESO_Oro-8-6_srt	Oro
CESO_Rb-10-10_srt	Rb
CESO_Rb-1-10_srt	Rb
CESO_Rb-11-10_srt	Rb
CESO_Rb-12-10_srt	Rb
CESO_Rb-14-10_srt	Rb
CESO_Rb-16-11_srt	Rb
CESO_Rb-17-10b_srt	Rb
CESO_Rb-18-10_srt	Rb
CESO_Rb-19-10b_srt	Rb
CESO_Rb-20-1_srt	Rb
CESO_Rb-24-10_srt	Rb
CESO_Rb-25-10_srt	Rb
CESO_Rb-26-10_srt	Rb
CESO_Rb-27-10_srt	Rb
CESO_Rb-28-10_srt	Rb
CESO_Rb-29-10_srt	Rb
CESO_Rb-30-10_srt	Rb
CESO_Rb-3-12_srt	Rb
CESO_Rb-4-10_srt	Rb
CESO_Rb-5-10_srt	Rb
CESO_RB-6-3_srt	Rb
CESO_Rb-8-10_srt	Rb
CESO_Res-10-10_srt	Res
CESO_Res-13-10_srt	Res
CESO_Res-14-10_srt	Res
CESO_Res-15-10_srt	Res
CESO_Res-17-10_srt	Res
CESO_Res-19-11_srt	Res
CESO_Res-23-11_srt	Res
CESO_Res-28-2_srt	Res
CESO_Res-8-10_srt	Res
CESO_Sie-10-11_srt	Sie
CESO_Sie-10-12_srt	Sie
CESO_Sie-11-11_srt	Sie
CESO_Sie-11-12_srt	Sie
CESO_Sie-11-13_srt	Sie
CESO_Sie-12-10_srt	Sie
CESO_Sie-1-3_srt	Sie
CESO_Sie-14-10_srt	Sie
CESO_Sie-14-11_srt	Sie
CESO_Sie-14-12_srt	Sie
CESO_Sie-14-13_srt	Sie
CESO_Sie-14-14_srt	Sie
CESO_Sie-15-10_srt	Sie
CESO_Sie-15-11_srt	Sie
CESO_Sie-15-12_srt	Sie
CESO_Sie-15-13_srt	Sie
CESO_Sie-5-3_srt	Sie
CESO_Sie-9-2_srt	Sie
CESO_Tri-12-10_srt	Tri
CESO_Tri-1-4_srt	Tri
CESO_Tri-15-10_srt	Tri
CESO_Tri-16-8_srt	Tri
CESO_Tri-17-11_srt	Tri
CESO_Tri-18-11_srt	Tri
CESO_Tri-20-11_srt	Tri
CESO_Tri-21-10b_srt	Tri
CESO_Tri-23-11_srt	Tri
CESO_Tri-24-11_srt	Tri
CESO_Tri-25-7_srt	Tri
CESO_TRI-28-11_srt	Tri
CESO_Tri-3-10_srt	Tri
CESO_Tri-6-10_srt	Tri
CESO_Tri-8-10_srt	Tri
CESO_Tri-9-10_srt	Tri
CESO_Uki-10-10_srt	Uki
CESO_Uki-1-10_srt	Uki
CESO_Uki-11-10_srt	Uki
CESO_Uki-12-10_srt	Uki
CESO_Uki-13-10_srt	Uki
CESO_Uki-16-10_srt	Uki
CESO_Uki-17-11_srt	Uki
CESO_Uki-19-10_srt	Uki
CESO_Uki-20-10b_srt	Uki
CESO_Uki-21-11_srt	Uki
CESO_Uki-22-10b_srt	Uki
CESO_Uki-24-10_srt	Uki
CESO_Uki-26-10b_srt	Uki
CESO_Uki-8-10_srt	Uki
CESO_Vet-11-10_srt	Vet
CESO_Vet-12-10_srt	Vet
CESO_Vet-14-10_srt	Vet
CESO_Vet-16-10_srt	Vet
CESO_Vet-17-5_srt	Vet
CESO_Vet-19-9_srt	Vet
CESO_Vet-20-10_srt	Vet
CESO_Vet-21-10_srt	Vet
CESO_Vet-22-10_srt	Vet
CESO_Vet-23-10_srt	Vet
CESO_Vet-24-10_srt	Vet
CESO_Vet-25-10_srt	Vet
CESO_Vet-3-4_srt	Vet
CESO_Vet-4-5_2_srt	Vet
CESO_Vet-8-4_srt	Vet
CESO_Vet-9-10_srt	Vet
CESO_WAT-11-M1_srt	Wat
CESO_WAT-12-M2_srt	Wat
CESO_WAT-19-M1_srt	Wat
CESO_WAT-20-M2_srt	Wat
CESO_WAT-4-M2_srt	Wat
CESO_WAT-5-M2_srt	Wat
CESO_Yre-11-10_srt	Yre
CESO_Yre-14-C10_srt	Yre
CESO_Yre-15-10_srt	Yre
CESO_Yre-16-C10_srt	Yre
CESO_Yre-17-C10_srt	Yre
CESO_Yre-18-10_srt	Yre
CESO_Yre-20-C10_srt	Yre
CESO_Yre-22-10_srt	Yre
CESO_Yre-23-10_srt	Yre
CESO_Yre-27-10_srt	Yre
CESO_Yre-28-10_srt	Yre
CESO_Yre-29-10_srt	Yre
CESO_Yre-30-10_srt	Yre
CESO_Yre-7-10_srt	Yre
CESO_Yre-8-10_srt	Yre
