GOSlimTerm	proportion
Golgi apparatus	0.02617801047120419
anatomical structure development	0.005235602094240838
cell communication	0.002617801047120419
cell differentiation	0.002617801047120419
cell wall	0.01832460732984293
cellular protein modification process	0.007853403141361256
chloroplast	0.22251308900523561
cytoplasm	0.09947643979057591
cytosol	0.005235602094240838
extracellular region	0.06282722513089005
mitochondrion	0.0549738219895288
multicellular organism development	0.002617801047120419
nucleotide binding	0.002617801047120419
nucleus	0.21727748691099477
other binding	0.002617801047120419
other cellular components	0.034031413612565446
other cellular processes	0.010471204188481676
other intracellular components	0.031413612565445025
other membranes	0.007853403141361256
other metabolic processes	0.007853403141361256
plasma membrane	0.06806282722513089
plastid	0.05235602094240838
pollination	0.005235602094240838
reproduction	0.005235602094240838
response to chemical	0.002617801047120419
response to external stimulus	0.002617801047120419
ribosome	0.005235602094240838
thylakoid	0.013089005235602094
transferase activity	0.002617801047120419
vacuole	0.01832460732984293
