GOSlimTerm	count
Golgi apparatus	10
anatomical structure development	2
cell communication	1
cell differentiation	1
cell wall	7
cellular protein modification process	3
chloroplast	85
cytoplasm	38
cytosol	2
extracellular region	24
mitochondrion	21
multicellular organism development	1
nucleotide binding	1
nucleus	83
other binding	1
other cellular components	13
other cellular processes	4
other intracellular components	12
other membranes	3
other metabolic processes	3
plasma membrane	26
plastid	20
pollination	2
reproduction	2
response to chemical	1
response to external stimulus	1
ribosome	2
thylakoid	5
transferase activity	1
vacuole	7
