KAJ9535045.1	OSB04_un001884
KAJ9535046.1	OSB04_un001883
KAJ9535047.1	OSB04_un001882
KAJ9535048.1	OSB04_un001881
KAJ9535049.1	OSB04_un001880
KAJ9535050.1	OSB04_un001879
KAJ9535051.1	OSB04_un001878
KAJ9535052.1	OSB04_un001877
KAJ9535053.1	OSB04_un001876
KAJ9535054.1	OSB04_un001875
KAJ9535055.1	OSB04_un001873
KAJ9535056.1	OSB04_un001872
KAJ9535057.1	OSB04_un001871
KAJ9535058.1	OSB04_un001869
KAJ9535059.1	OSB04_un001870
KAJ9535060.1	OSB04_un001867
KAJ9535061.1	OSB04_un001868
KAJ9535062.1	OSB04_un001866
KAJ9535063.1	OSB04_un001865
KAJ9535064.1	OSB04_un001864
KAJ9535065.1	OSB04_un001863
KAJ9535066.1	OSB04_un001862
KAJ9535067.1	OSB04_un001860
KAJ9535068.1	OSB04_un001861
KAJ9535069.1	OSB04_un001859
KAJ9535070.1	OSB04_un001855
KAJ9535071.1	OSB04_un001854
KAJ9535072.1	OSB04_un001853
KAJ9535073.1	OSB04_un001852
KAJ9535074.1	OSB04_un001851
KAJ9535075.1	OSB04_un001850
KAJ9535076.1	OSB04_un001849
KAJ9535077.1	OSB04_un001848
KAJ9535078.1	OSB04_un001847
KAJ9535079.1	OSB04_un001844
KAJ9535080.1	OSB04_un001845
KAJ9535081.1	OSB04_un001843
KAJ9535082.1	OSB04_un001841
KAJ9535083.1	OSB04_un001842
KAJ9535084.1	OSB04_un001840
KAJ9535085.1	OSB04_un001839
KAJ9535086.1	OSB04_un001838
KAJ9535087.1	OSB04_un001837
KAJ9535088.1	OSB04_un001836
KAJ9535089.1	OSB04_un001834
KAJ9535090.1	OSB04_un001835
KAJ9535091.1	OSB04_un001833
KAJ9535092.1	OSB04_un001832
KAJ9535093.1	OSB04_un001830
KAJ9535094.1	OSB04_un001831
KAJ9535095.1	OSB04_un001827
KAJ9535096.1	OSB04_un001826
KAJ9535097.1	OSB04_un001824
KAJ9535098.1	OSB04_un001825
